id,content
4821,"They are doxxing people over pulling down some flyers while 10,000 Palestinians have been killed in 4 weeks. Children still under rubble and unaccounted for. Bombs, a ground invasion. And they're doxxing people over pieces of paper. Shut them down"
4820,"The Mossad/CIA is behind ""terrorist attacks."" Then they blame Muslims so that Americans will support endless wars against Muslims.Their playbook never changes because most people are too dumb to recognize patterns."
4810,@neontaster Show me where  said he hates Jews. Ps: ZIONISTs can be any religion.
4806,Resistance drone pounds the very centre of Tel Aviv.The demons are sh*tting their pants. Their AD system is as useless as Ukraine's. It's over.
4803,"The Victorian government spent millions to bring Land Forces to Melbourne, then spent $15 million on policing to ensure Israeli companies had a 'safe space' to spruik the kind of 'cutting-edge capabilities' that have killed more than 16k children in Gaza. Absolutely sickening."
4791,"If Tel Aviv ever meets the same fate as Gaza, expect no fucking sympathy from me. I'd be cheering.Look what you made us do."
4788,"Russia is one of 6 remaining countries that does not have a Central Bank controlled by the Jewish Rothschild dynasty.And that, Ladies and Gentlemen... is what this is all about.You awake yet?"
4778,The same people who've cheered on Israel's murder of tens of thousands of Palestinians are now expressing outrage at the supposed 'violence' of a few protesters outside the absolute turducken of state sponsored destruction that is the Land Forces expo. The hypocrisy is astounding
4768,Israel did 9/11 and blamed Muslims so that Americans would support endless wars in the Middle East. Know your enemy.
4757,"Why is this shocking? On the 200th day of genocide, men gathered in worn out sandals and dug with bare hands the rubble where a hospital once stood. Buried beneath the site that once was for saving lives they found mass graves. The men, untrained, unequipped, ungrieved, unpaid, un...existing, instinctively took to work. They collected the pieces with care: arms, legs, toes, nails, heads, teeth, hair...stashed the remains into piles to work out identity. They are the missing loved ones of someone... some family. The men took to work. They did not seem angry. They did not seem shocked. Faces solemn, hands digging, backs hunched they worked. Meanwhile, the rest of the world feigned shock. ""A mass grave..."" ""Oh my God!"" ""How did it get there?""   ""We need to investigate."" Sorry, but why is this shocking? What is there to investigate? 200 days of relentless brutality. This is Gaza every day. This is what genocide looks like. Sanction. Boycott. Divest. NOW! #IsraeliWarCrimes #GazaGenocides #ArmsEmbargoNow #KhanYunis #NasserHospital"
4750,America is controlled by Jews. I'm sorry if you cannot face this reality.
4736,Who else wants IDF war criminals prosecuted when they return to Australia?
4722,"Most Muslims are NOT ISIS. Most Christians are NOT the KKK.Most Jews ARE in fact Zionists. And Jews are behind ISIS, the KKK &       Zionism.😂 It's not difficult to understand."
4719,We made the surprising discovery today that it appears to be @electionsvic policy that council candidates cannot mention Israel's genocide in Gaza because it may 'cause offence'. See email below to our candidate for Darebin (West Ward) Cat Rose. 🧵
4710,"Modern ""Israelis"" are NOT biblical Israelis. The vast majority of them are from Europe and their ancestors never stepped foot in the Middle East. I cannot believe how long Zionists have gotten away with such an enormous SCAM."
4702,I HATE ISRAEL FOREVER🇮🇱
4699,"@Israel_katz Between Jan 1st to Oct 6th 2023 - Israel murdered 100 children. Oct 7th - hamas murdered 38 children. Oct 8th to today - Israel murdered 14,500 children.Video of Israeli forces is from 2015. Try blaming hamas."
4697,"Jews have been trying to take over the world for thousands of years. This is why they have been kicked out of 109 countries over 1000 times. This is why people write entire books calling out Jews in ancient times, medieval times & modern times. Not Zionists. JEWS."
4692,Never stand with Israel.
4688,"Multi-millionaire (net worth $6 million) Simon Cowell is begging for donations for the fire victims of the wildfires in California, whilst he actively supports the IDF, as they burn Palestinian children to death.What's your message to him?"
4687,Fuck off. I don't want to get raped by Israeli baby-killers.
4670,"Ian Carroll on Israeli Propaganda ""They realized the whole world would turn against them and call them a Colonial Project"""
4667,Netanyahu is a confirmed target.He will die.
4650,"BREAKING: spread the word. The Melbourne Symphony Orchestra  #MSO  just canceled a musician because he  played a piece dedicated to Palestinian journalists killed in #Gaza  in his previous performance. This is the email they sent to those who wished to attend his upcoming concert in two days on why they cancelled him: ""During Jayson Gillham's performance yesterday (Sunday 11 August) Mr Gillham made a series of introductory remarks prior to giving the world premiere of the Conor D'Netto piece Witness, a late addition to the advertised programme.Witness was accepted for performance at the request of Mr Gillham on the basis that it was a short meditative piece. Mr Gillham made his personal remarks without seeking the MSO's approval or sanction. They were an intrusion of personal political views on what should have been a morning focused on a program of works for solo piano.The MSO does not condone the use of our stage as a platform for expressing personal views. Mr Gillham will not be performing in the advertised concert with the MSO this Thursday night at Melbourne Town Hall. Customers will be advised of this change to Thursday's program as soon as possible.The MSO was at no point made aware of the content of the remarks Mr Gillham was intending to make. They were made completely without authority.The MSO understands that his remarks have caused offence and distress and offers a sincere apology. It has been a priority for us to address this difficult situation today.The MSO's values are Respectful, Collaborative, Innovative and Diverse and they are at the heart of what we do and how we act. They guided why we accepted the work to be performed, and why we've acted as a result of the unauthorised statements. Music brings people together and that is why one of our guiding principles is ""We unite our individual strengths and celebrate our unifying love of music, fostering understanding and belonging"". In standing for humanity and peace we seek for every one of our performances to be a welcome and safe place for all""Yours in music,Melbourne Symphony Orchestra  #Palestine #Israel #Gaza_genocide"
4647,"'A protracted campaign to falsely brand all opposition to the Israeli genocide as antisemitism is intensifying, with politicians and the media whipping up an atmosphere of hysteria. The manufactured character of the ""national crisis"" was sharply demonstrated by an episode at a restaurant in the Sydney suburb of Newtown on Tuesday...The details are contested, but based on the context, what is publicly known and through leaked Daily Telegraph files, it is clear that this was an attempt to allege some sort of antisemitism on the part of the restaurant and its employees. The staff, however, did not take the bait and the Telegraph has not published any story about the restaurant.There is no indication as to why a major newspaper targeted this particular restaurant, other than that its Egyptian-born owner is known to be an opponent of the Gaza genocide and the venue was preparing to host a fundraiser in support of the Palestinians.'By @Oscar_Grenfell"
4641,"Trump is owned by Zionist Jews. Biden is owned by Zionist Jews.Mainstream Media is owned by Zionist Jews.Therefore the entire ""debate"" is theater. Zionist Jews own America. Truth is not antisemitic & if it is that's not my fault."
4639,@piersmorgan @piersmorgan will you condemn March 17th? WILL YOU CONDEMN THE MASS MURDER OF CHILDREN OR NOT? What Israel is doing is TERRORISM!!!!Answer the question!!!!!!!!!!
4632,"Dan Bilzerian on America's ""greatest ally""""We should be at war with them instead we send them money""OCCUPIEDFILM"
4622,"Sinwar was not in a bunker but above ground, fighting until the very end. When he ran out of ammunition after sending many Israelis to hell, he tried to take down the FPV drone that was going after him with a stick.Fighting until the very end."
4620,"The Australian Government has provided $91M in funding for the jewish community, representing only 0.4% of the population (since 2023)The remaining 99.6% of the population only received $37M in funding for similar services.OUR TAX MONEY 💵 Who is really running the country?"
4618,"Cry me a river to the sea, then fuck off.Thank you, Scotland. 🏴󠁧󠁢󠁳󠁣󠁴󠁿❤️ 🇵🇸#FreePalestineFromZionists"
4614,"Nick Fuentes on Ian Carroll on Joe Rogan, Candace Owens, Theo Von and Andrew Tate all talking about j*ws on the same day 😮""The Red Pill is Mainstream"""
4613,Palestinians took Jews in when no one in the world wanted them. Now look how Jews treat them.Shameful.
4599,"Candace Owens and Theo Von on Israel being a safe haven for j*wish p*dophiles 🤯🤯""They have a weird rule if you're j*wish you can hide as a p*d*phile"""
4596,"Ask yourself: In this historic moment, when hundreds of thousands gather in Washington DC in support of Palestine, where is your voice? Where do you stand? Speak up now or forever be left on the wrong side of history. Shout it out loud: end the genocide. Free Palestine.  #Gaza_Genocide #IsraelWarCrimes #Palestine"
4595,Credit to the Greens for taking a principled stand against Israel's genocide in Gaza and provoking a bipartisan political tantrum by people in politics and the media who think the biggest atrocity viz-a-viz Palestine is the fact that people keep protesting about it.
4583,"IDF bulldozer, decorated with trophies of toys which belonged to the children who lived in the homes it destroys.Truly demonic."
4582,The Mossad agents on Twitter spreading these photos of Ingushetians are trying to get ahead of the real story. Israel was behind the terror attack.These people died some time ago in a shoot out and having nothing to do with the Moscow concert hall.
4561,"Israel has chosen Holocaust Memorial Day to mass-murder civilians, hoarded into a refugee camp in Rafah.""Never again"", my arse. Fucking cunts of the world."
4560,If you stand with Israel you stand with child rapists.
4559,"What an interesting fact about Covid!""Covid-19 is targeted to attack caucasians and black people..."" 👀""The people who are most immune are ashkenazi jews and Chinese"""
4558,4000 Jews who worked in or near the Twin Towers didn't come to work on 9/11.Are you awake yet?!
4557,Zionists are trying to normalize child rape.
4555,The founders of Israel were literally Satanists.
4553,This is the Rothschild family and owners of Israel. They are not Semitic. They are Khazarian land thieves.
4539,"UPDATE: Netanyahu's house was destroyed by the drone, the roof is gone and some walls collapsed.Let's hope he was inside with the rest of his demon spawn."
4537,"Presidents are not ""elected."" They are selected by Zionist Jewish oligarchs who own America."
4532,@EylonALevy ISRAEL is the middle east leader of sex crimes and paedophiles.Google it. Every statement is a confession. Prove me wrong.
4529,"Videos are coming out of Rafah today with beheaded babies. This is deplorable. We must demand an end to this genocide, stop all trade, divest and recognise a Palestinian state"
4528,"Remember when this Israeli actress BITCH lied about being a nurse at Al shifa hospital? Never forget their lies upon lies, that paved the way to 15,000 dead children. This is what Israeli is.Never forget. Never Forgive."
4524,"Dear family of Aaron Bushnell, I thought our hearts' grief left no room for more sorrow, until I saw your son on fire...I'm sorry for your loss. I wish for no more people to die for Palestine, but to live for it. I wish you knew Gaza before the genocide, a place of incurable hope and love for life. Now it's a killing field. I wish you patience and strength in these difficult times. May your son rest in peace and may his sacrifice and yours not be in vain.  #Gaza_Genocide #AaronBushnell"
4519,"Why is it illegal to do a DNA test in ""Israel?"""
4516,"""Hamas radicalizes their kids to hate and kill Jews""No. It's the opposite. Every Israeli accusation is a confession."
4504,"Dan Bilzerian tells Bradley Martyn how J*ws Pitted everyone against each other 🫣""It's black against white, man vs woman, it's easier to rule when people are at odds"""
4501,"Nick Fuentes: ""We must have a second American revolution from the Jewish mafia and the state of Israel""🔥🔥🔥NOW YOU ARE TALKING BROTHER."
4491,"😭😭""Would you let a j*w work out in your gym without paying if he said the membership was promised to him 4000 years ago"""
4490,"Theo Von says he gets an Evil vibe from Netanyahu 😳""That's the same shit H*tler would've said"""
4488,Former Aus Labor Senator Margaret Reynolds:'.. the Australian Government must now immediately:-Recall their ambassador.-Impose sanctions on Israel.-Cease any provision of military equipment or component parts to the Israel Defence Force.'https://t.co/Ymp2ZKpdin
4484,"What would Jesus say about Israel?Micah 3:1-4 ""And I said: Hear, you heads of Jacob and rulers of the house of ISRAEL! Is it not for you to know justice? You who hate the good and love the evil, who tear the skin from off my people and their flesh from off their bones; who eat the flesh of my people, and flay their skin from off them, and break their bones in pieces and chop them up like meat in a pot, like flesh in a cauldron. Then they will cry to the LORD, but he will not answer them; he will hide his face from them at that time because they have made their deeds evil."""
4480,"This is Greg Lansky, owner of BLACKED. A pornography site that promotes White women having intercourse with black men. He is also jewish."
4475,"Ian Carroll and Owen Shroyer on mainstream influencers getting Epstein binders 🫣""The more they cover this up the louder the anti Israel voices will get"""
4468,Maybe the people 'ruining Christmas' aren't the handful of peace activists briefly disrupting Carols by Candlelight but those who are carpet bombing refugee camps and carrying out deadly military raids in the birthplace of Jesus. Just a thought.
4447,"4/6 Israel clumsily weaponised rape claims, choosing to launch in the lead up to Int Day for Elimination of Violence against Women. Its campaign was cringe worthy, lead by fascist warmongers, heavy handed, a disservice to victims of rape everywhere. #israel #palestine #Gaza"
4439,"Dan Bilzerian explains how he got red pilled about the J*wish Supremacy 😳""The are owners of all the p*rn sites"""
4435,"Did you know that interracial marriage is illegal in ""Israel?"""
4431,ISRAEL USES DOG TO ATTACK OLD PALESTINIAN WOMAN!
4426,Joker and Penguin stand with Palestine.Wonder Woman can fuck off.
4420,This is such predictable bullshit. The USA & Israel created ISIS to scare the West into hating Muslims so they can keep mass murdering Muslims in the Middle East to steal their lands and resources. It's time to wake up to the Zionist's tricks.
4419,"Bradley Martyn asks Dan Bilzerian if another race was in control would the world be better 😱😱""There is a problem with Judaism""""Christians want people to be Christian, Muslims want people to become Muslim....J*ws don't try convert, they believe they are superior"""
4418,IDF soldiers when they're told that they have to fight against trained armed combatants instead of children and old women.
4415,"This demon, who famously said humans are 'hackable animals' and that 'the era of free will is over' is... you guessed it. Jewish."
4399,"Netanyahu's decision to resume airstrikes on Gaza is horrific.More than 400 people have been killed already.Australia needs to move from words to action, and put pressure on Netanyahu's extremist government to stop the genocide."
4393,"Israelis are shocked that their ""civilians"" (you cannot even call them that) settlers are dying and the entire world is celebrating instead of sending them their commiserations.Hezbollah's new secretary general has come with a new strategy: The pain equation."
4389,"Aussies are so apathetic it's insane...They had a bigger reaction to nurses being baited into making horrible statements against an Israeli troll...Than the fact that we lost our right to Free Speech, thanks to the Australian jewish Association (AJA) & Zionist Federation of Australia...Oh Let's not forget, Mark Liebler openly bragging that jewish lives matter more OUR RIGHT TO SPEAK...WHY ARE WE LIKE THIS?"
4384,"The Houthis will always be remembered as the heroes of this dark saga of humanity. While the UK sent the RAF to scout out for Israel where to bomb civilians, the poorest nation in the Arab world set up the most effective naval blockade in modern history to disrupt Israeli commerce."
4383,Israel is ISIS.
4379,Muslims love Jesus. Zionist Jews hate Jesus. Hope that helps.
4365,"@IDF Is this a joke? 16,069 children bodies found so far...How many under the rubber?"
4359,@SkyNews @SkyNews refer to him correctly.Benjamin Netanyahu who is a wanted war criminal by the ICC
4349,"School strike for Palestine round 2 today and they're not pulling their punches: 'Albanese you can't hide, you're supporting genocide!'"
4345,Christians have more in common with Muslims than we do Zionists. Probably because Zionists do not actually practice Judaism.
4340,@JacintaAllanMP @JacintaAllanMP I have a legitimate question.if a synagogue wants to hold a hate event by inviting a speaker who had called for the mass murder of mothers and ethnic cleansing..... Thats fine? But outrage and protest  isn't?
4320,This is why we are getting new Hate Speech Laws today. Shalom mfkrs.
4290,"The Greens have always called for all hostages to be released unconditionally, but civilians cannot be asked to pay the price again.Our government should be sanctioning Netanyahu and his extremist government, ending the two-way arms trade, and recognising Palestine."
4264,"@theheraldsun Disgusting, putrid and vile decision.Hope the Jews behind the scenes are enjoying themselves..."
4255,"We said it from the beginning...Australia does not have an antisemitism problem!The mere fact that jews were able to get our laws changed within weeks to benefit them, only proves that:Australia has a jewish supremacy problem..Every single hate speech law MUST BE REMOVED AND REPEALED IMMEDIATELY."
4252,@benshapiro LOL - CCP Propaganda 🤡 Zionist propaganda is by far the most dangerous thing for Americans...
